Semilla,R2_log,MAE_eur,RMSE_eur
2025,0.9443,42843.9,84753.2
7,0.9415,43698.7,85091.1
123,0.9412,43111.7,83193.9
2024,0.9422,44127.2,84974.9
99,0.9454,41938.9,80939.1
